"index","var","name","volume","date"
3.23008849557522,1.35336779638457,"Klobuchar",165,"09-03-2019"
1.375,1.47877814211834,"O'Rourke",226,"09-03-2019"
1.28467815049864,1.51913567281282,"Biden",1446,"09-03-2019"
1.12365591397849,1.53782678887999,"Gillibrand",468,"09-03-2019"
1.7045101088647,1.39209155594048,"Sanders",779,"09-03-2019"
1.675,1.40096776916943,"Warren",710,"09-03-2019"
2.47311827956989,1.49519028241237,"Buttigieg",394,"09-03-2019"
1.32116788321168,1.51340776775472,"Booker",196,"09-03-2019"
1.88356164383562,1.44758987412696,"Harris",363,"09-03-2019"
2.03614457831325,1.43307874282746,"Castro",248,"09-03-2019"
1.68449197860963,1.44831482564053,"Inslee",229,"09-03-2019"
1.64601769911504,1.55422836730861,"Hickenlooper",144,"09-03-2019"
1.5655737704918,1.53251913495895,"yang",177,"09-03-2019"
2.13684210526316,1.65476309495172,"Klobuchar",127,"08-27-2019"
0.641379310344828,1.46439059306145,"O'Rourke",174,"08-27-2019"
1.53262158956109,1.54440587941516,"Biden",1072,"08-27-2019"
-0.407894736842105,1.45643810323329,"Gillibrand",108,"08-27-2019"
1.29475982532751,1.39717187912745,"Sanders",1142,"08-27-2019"
0.78857837181045,1.47252359465791,"Warren",1106,"08-27-2019"
1.80672268907563,1.56357379553174,"Buttigieg",358,"08-27-2019"
2.53,1.46987287118993,"Booker",128,"08-27-2019"
1.54355400696864,1.45096637380095,"Harris",368,"08-27-2019"
0.724137931034483,1.30944698399424,"Castro",102,"08-27-2019"
1.41269841269841,1.38824164072288,"Inslee",534,"08-27-2019"
1.61702127659574,1.475832044082,"Hickenlooper",206,"08-27-2019"
0.973684210526316,1.60151025528934,"yang",120,"08-27-2019"
-0.827586206896552,1.56462489313808,"Klobuchar",175,"08-13-2019"
-3.89574468085106,1.51385076650863,"O'Rourke",564,"08-13-2019"
-0.114068441064639,1.5937211211836,"Biden",1336,"08-13-2019"
-2.39784946236559,1.42313701409068,"Gillibrand",133,"08-13-2019"
0.2256,1.56905687669226,"Sanders",750,"08-13-2019"
-0.25981308411215,1.47034119798899,"Warren",661,"08-13-2019"
-1.14227642276423,1.5857404508724,"Buttigieg",317,"08-13-2019"
-2.89411764705882,1.65634268813855,"Booker",403,"08-13-2019"
0.194225721784777,1.48634116407605,"Harris",484,"08-13-2019"
-1.68702290076336,1.47619100180528,"Castro",167,"08-13-2019"
-5.890625,1.57992962038852,"Inslee",82,"08-13-2019"
0.139344262295082,1.53247350080575,"Hickenlooper",163,"08-13-2019"
-2.27927927927928,1.49521627009831,"yang",149,"08-13-2019"
0.531914893617021,1.85949537361783,"Klobuchar",61,"07-16-2019"
0.0810810810810811,1.28821547661946,"O'Rourke",91,"07-16-2019"
1.28152866242038,1.57837425561876,"Biden",996,"07-16-2019"
1.66666666666667,1.42709780199748,"Gillibrand",158,"07-16-2019"
1.29971181556196,1.29902161033899,"Sanders",452,"07-16-2019"
0.968299711815562,1.47132799289831,"Warren",447,"07-16-2019"
0.87037037037037,1.44703219138521,"Buttigieg",159,"07-16-2019"
1.44155844155844,1.18562998186834,"Booker",92,"07-16-2019"
1.72826086956522,1.78224105822323,"Harris",571,"07-16-2019"
-0.5,1.85011566155692,"Castro",48,"07-16-2019"
0.416666666666667,1.32458401521096,"Inslee",33,"07-16-2019"
0.13953488372093,1.56225463189703,"Hickenlooper",55,"07-16-2019"
8.125,1.29693469807518,"yang",79,"07-16-2019"
1.28571428571429,1.43310837055083,"Klobuchar",60,"07-09-2019"
2.28169014084507,1.39077812466625,"O'Rourke",102,"07-09-2019"
1.11243243243243,1.47491625204354,"Biden",1252,"07-09-2019"
1.06896551724138,1.31330981479929,"Gillibrand",37,"07-09-2019"
1.18232044198895,1.40701081593449,"Sanders",464,"07-09-2019"
1.96162528216704,1.33070885788338,"Warren",560,"07-09-2019"
1.19583333333333,1.31795291532044,"Buttigieg",340,"07-09-2019"
0.292207792207792,1.4592513697531,"Booker",197,"07-09-2019"
1.14305750350631,1.38589746526033,"Harris",936,"07-09-2019"
0.372093023255814,1.62396767730067,"Castro",108,"07-09-2019"
0.67741935483871,1.39589148850912,"Inslee",49,"07-09-2019"
1.3125,1.29459684026068,"Hickenlooper",98,"07-09-2019"
-0.326086956521739,1.41457600952046,"yang",71,"07-09-2019"
3.46478873239437,1.32071058311638,"Klobuchar",89,"06-11-2019"
1.85585585585586,1.32892593518885,"O'Rourke",144,"06-11-2019"
0.285261489698891,1.51552531229456,"Biden",1571,"06-11-2019"
2.80412371134021,1.263371909493,"Gillibrand",133,"06-11-2019"
1.25890736342043,1.47348342136046,"Sanders",530,"06-11-2019"
1.36325678496868,1.41585332652159,"Warren",587,"06-11-2019"
1.7361963190184,1.54594701640873,"Buttigieg",414,"06-11-2019"
-0.181159420289855,1.36318539415104,"Booker",171,"06-11-2019"
1.63210702341137,1.46789968704511,"Harris",364,"06-11-2019"
-0.771428571428571,1.59376282921639,"Castro",45,"06-11-2019"
-0.444444444444444,1.5579108168954,"Inslee",126,"06-11-2019"
1,1.28651772014269,"Hickenlooper",33,"06-11-2019"
3.93103448275862,1.71862626828084,"yang",49,"06-11-2019"
0.739130434782609,1.51366515077384,"Klobuchar",259,"06-18-2019"
0.585365853658537,1.36836964948477,"O'Rourke",289,"06-18-2019"
0.577743902439024,1.60969541610397,"Biden",1717,"06-18-2019"
1.68627450980392,1.54864201526886,"Gillibrand",141,"06-18-2019"
0.988587731811698,1.52456597756089,"Sanders",953,"06-18-2019"
